Smithy Test

fail 1: expected 37, got 38
fail 6: expected 246, got 247
fail 1: expected 199, got 200
fail 2: expected 199, got 200 
fail 1: expected 110, got 111
fail 6: expected 110, got 111
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 362, got 363
fail 2: expected 362, got 363 
fail 1: expected 399, got 400
fail 2: expected 399, got 400 
fail 1: expected 168, got 169
fail 6: expected 168, got 169
fail 1: expected 26, got 27
fail 6: expected 26, got 27
fail 1: expected 110, got 111
fail 6: expected 110, got 111
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 448, got 449
fail 2: expected 448, got 449 
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 29, got 30
fail 6: expected 29, got 30
fail 1: expected 3, got 4
fail 3: expected 3, got 4 
fail 1: expected 412, got 413
fail 6: expected 412, got 413
fail 1: expected 185, got 186
fail 6: expected 185, got 186
fail 1: expected 251, got 252
fail 6: expected 251, got 252
fail 1: expected 293, got 294
fail 2: expected 293, got 294 
fail 1: expected 139, got 140
fail 2: expected 139, got 140 


Tests Complete
Random Adventurer Test

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

 Fail: hand count: expected 3, got 2 

